fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
atn_17_40,ATN,8,0.1875,3.0,0,0,0
atn_18_10,ATN,10,0.15,5.0,0,0,0
atn_18_20,ATN,20,0.1325,5.035069444444445,0,0,0
atn_18_40,ATN,23,0.22117202268431002,3.4905533509700177,0,0,0
atn_19_10,ATN,6,0.1111111111111111,2.0,0,0,0
atn_19_20,ATN,5,0.28,3.4999999999999996,0,0,0
atn_19_40,ATN,28,0.17857142857142858,4.076486202412129,0,0,0
atn_1_10,ATN,4,0.25,3.5,0,0,0
atn_1_20,ATN,19,0.12465373961218837,5.3959876543209875,0,0,0
atn_1_40,ATN,17,0.2629757785467128,3.6084371857099136,0,0,0
atn_20_10,ATN,6,0.1111111111111111,2.0,0,0,0
atn_20_20,ATN,13,0.1301775147928994,4.722222222222222,0,0,0
atn_20_40,ATN,14,0.24489795918367346,4.09375,0,0,0
atn_21_10,ATN,5,0.32,2.7777777777777777,0,0,0
atn_21_20,ATN,18,0.12654320987654322,4.228395061728395,0,0,0
atn_21_40,ATN,32,0.1650390625,4.771397268036265,0,0,0
atn_22_10,ATN,4,0.3125,2.333333333333333,0,0,0
atn_22_20,ATN,2,0.25,2.0,0,0,0
atn_22_40,ATN,19,0.16620498614958448,4.069885361552028,0,0,0
atn_23_10,ATN,4,0.3125,2.6666666666666665,0,0,0
atn_23_20,ATN,4,0.25,2.5,0,0,0
atn_23_40,ATN,32,0.1865234375,4.4457580942338435,0,0,0
atn_24_10,ATN,4,0.125,2.0,0,0,0
atn_24_20,ATN,11,0.14049586776859505,3.0,0,0,0
atn_24_40,ATN,19,0.14681440443213298,3.4999999999999996,0,0,0
atn_25_10,ATN,5,0.2,3.3333333333333335,0,0,0
atn_25_20,ATN,18,0.2006172839506173,3.7518518518518515,0,0,0
atn_25_40,ATN,22,0.1487603305785124,4.076388888888888,0,0,0
atn_26_10,ATN,,,,,,
atn_26_20,ATN,13,0.20118343195266272,4.041666666666666,0,0,0
atn_26_40,ATN,23,0.2514177693761815,4.145781250000001,0,0,0
atn_27_10,ATN,2,0.25,2.0,0,0,0
atn_27_20,ATN,9,0.2345679012345679,3.3583333333333334,0,0,0
atn_27_40,ATN,21,0.23129251700680273,4.64187634446315,0,0,0
atn_28_10,ATN,4,0.1875,2.5,0,0,0
atn_28_20,ATN,9,0.16049382716049382,4.111111111111111,0,0,0
atn_28_40,ATN,27,0.22770919067215364,4.181147203584985,0,0,0
atn_29_10,ATN,3,0.2222222222222222,3.0,0,0,0
atn_29_20,ATN,3,0.2222222222222222,3.0,0,0,0
atn_29_40,ATN,27,0.18655692729766804,4.163333333333334,0,0,0
atn_2_10,ATN,4,0.125,2.0,0,0,0
atn_2_20,ATN,11,0.1652892561983471,3.5208333333333335,0,0,0
atn_2_40,ATN,39,0.11768573307034845,5.185863273704542,0,0,0
atn_30_10,ATN,3,0.2222222222222222,2.0,0,0,0
atn_30_20,ATN,7,0.20408163265306123,2.4,0,0,0
atn_30_40,ATN,18,0.19444444444444445,3.6792328042328037,0,0,0
atn_31_10,ATN,,,,,,
atn_31_20,ATN,6,0.25,2.25,0,0,0
atn_31_40,ATN,34,0.14965397923875431,5.167074109702117,0,0,0
atn_32_10,ATN,8,0.140625,3.75,0,0,0
atn_32_20,ATN,2,0.25,2.0,0,0,0
atn_32_40,ATN,13,0.1952662721893491,4.250793650793652,0,0,0
atn_33_10,ATN,9,0.14814814814814814,4.777777777777777,0,0,0
atn_33_20,ATN,2,0.25,2.0,0,0,0
atn_33_40,ATN,18,0.1728395061728395,3.159455782312925,0,0,0
atn_34_10,ATN,7,0.10204081632653061,2.5,0,0,0
atn_34_20,ATN,9,0.1728395061728395,4.1875,0,0,0
atn_34_40,ATN,40,0.14375,5.5053873989226005,2,0,0
atn_35_10,ATN,4,0.3125,3.25,0,0,0
atn_35_20,ATN,5,0.2,2.75,0,0,0
atn_35_40,ATN,21,0.24489795918367346,4.630753465646045,0,0,0
atn_36_10,ATN,4,0.25,3.0,0,0,0
atn_36_20,ATN,9,0.18518518518518517,3.7083333333333335,0,0,0
atn_36_40,ATN,39,0.09335963182117028,3.854375300889586,0,0,0
atn_37_10,ATN,2,0.25,2.0,0,0,0
atn_37_20,ATN,17,0.17301038062283736,5.012698412698412,0,0,0
atn_37_40,ATN,15,0.21333333333333335,3.437500000000001,0,0,0
atn_38_10,ATN,,,,,,
atn_38_20,ATN,,,,,,
atn_38_40,ATN,36,0.1388888888888889,5.001874900203949,4,0,0
atn_39_10,ATN,5,0.32,2.833333333333333,0,0,0
atn_39_20,ATN,11,0.1322314049586777,4.166666666666666,0,0,0
atn_39_40,ATN,15,0.23555555555555555,3.481009070294784,0,0,0
atn_3_10,ATN,,,,,,
atn_3_20,ATN,7,0.16326530612244897,2.75,0,0,0
atn_3_40,ATN,12,0.2222222222222222,3.6104166666666666,0,0,0
atn_40_10,ATN,10,0.13,5.625,0,0,0
atn_40_20,ATN,4,0.25,3.0,0,0,0
atn_40_40,ATN,25,0.176,3.932323959345642,0,0,0
atn_41_10,ATN,8,0.140625,2.666666666666667,0,0,0
atn_41_20,ATN,12,0.1736111111111111,4.791666666666667,0,0,0
atn_41_40,ATN,35,0.14285714285714285,4.5174981306899715,0,0,0
atn_42_10,ATN,,,,,,
